Stage,Time
wake,2018-05-15 21:13:00
light,2018-05-15 21:17:00
deep,2018-05-15 22:12:00
light,2018-05-15 22:20:00
deep,2018-05-15 23:39:00
light,2018-05-15 23:47:00
rem,2018-05-15 23:53:00
wake,2018-05-15 23:59:30
light,2018-05-16 00:18:00
wake,2018-05-16 00:21:30
light,2018-05-16 00:29:00
deep,2018-05-16 01:02:30
light,2018-05-16 01:07:30
wake,2018-05-16 01:34:00
rem,2018-05-16 01:41:30
wake,2018-05-16 01:56:30
light,2018-05-16 02:10:00
deep,2018-05-16 02:34:00
light,2018-05-16 03:11:00
rem,2018-05-16 03:19:00
light,2018-05-16 03:45:00
rem,2018-05-16 04:02:00
light,2018-05-16 04:26:00
wake,2018-05-16 05:17:30
light,2018-05-16 05:22:00
rem,2018-05-16 05:26:00
light,2018-05-16 05:44:00
rem,2018-05-16 06:50:00
