Stage,Time
asleep,22:30:30
restless,00:11:30
asleep,00:12:30
restless,00:25:30
asleep,00:27:30
restless,00:29:30
asleep,00:31:30
restless,01:34:30
awake,01:36:30
asleep,01:37:30
restless,02:42:30
asleep,02:43:30
restless,02:55:30
asleep,02:56:30
restless,02:57:30
asleep,02:59:30
restless,03:53:30
asleep,03:54:30
restless,05:16:30
awake,05:20:30
restless,05:26:30
asleep,05:27:30
restless,06:01:30
asleep,06:02:30
restless,06:03:30
asleep,06:04:30
restless,06:32:30
asleep,06:33:30
restless,06:44:30
asleep,06:45:30
restless,06:54:30
asleep,06:55:30
restless,07:00:30
asleep,07:10:30
restless,07:12:30
asleep,07:13:30
restless,08:00:30
asleep,08:01:30
