Awakenings,Date,Duration,Efficiency,MainSleep,Minutes Asleep,Minutes Awake,Restless Count,Restless Duration,Time in Bed
1,2018-04-15,26820000,97,True,430,12,4,12,447
0,2018-04-16,33000000,97,True,531,19,10,19,550
1,2018-04-17,35220000,95,True,557,30,16,28,587
1,2018-04-18,35040000,92,True,537,47,16,42,584
0,2018-04-19,25740000,95,True,406,23,11,23,429
2,2018-04-20,30420000,95,True,481,26,15,20,507
1,2018-04-21,29520000,94,True,464,28,14,22,492
2,2018-04-23,28500000,94,True,446,29,16,25,475
3,2018-04-24,41280000,95,True,657,31,19,28,688
2,2018-04-25,36840000,94,True,567,36,18,39,614
1,2018-04-26,34260000,94,True,534,37,15,30,571
5,2018-04-27,38280000,92,True,589,49,24,39,638
2,2018-04-28,31680000,95,True,503,24,13,23,528
