Date,DOW,Duration,Efficiency,MainSleep,Minutes Asleep,Minutes Awake,Sleep_Deep,Sleep_Light,Sleep_REM,Sleep_stage_Wake,Sleep_stage_Wake_Count,Time in Bed
2018-04-15,Sunday,26820000,97,True,398,49,57,277,64,49,13,447
2018-04-16,Monday,33000000,97,True,464,86,71,319,74,86,23,550
2018-04-18,Wednesday,35040000,92,True,508,76,36,399,73,76,25,584
2018-04-20,Friday,30420000,95,True,433,74,31,342,60,74,33,507
2018-04-21,Saturday,29520000,94,True,411,81,48,309,54,81,22,492
2018-04-23,Monday,28500000,94,True,401,74,87,206,108,74,18,475
2018-04-24,Tuesday,41280000,95,True,562,126,48,453,61,126,32,688
2018-04-25,Wednesday,36840000,94,True,507,107,77,403,27,107,30,614
2018-04-26,Thursday,34260000,94,True,506,65,42,414,50,65,22,571
2018-04-27,Friday,38280000,92,True,556,82,35,441,80,82,37,638
2018-04-28,Saturday,31680000,95,True,439,89,64,326,49,89,21,528
2018-04-29,Sunday,33000000,95,True,470,80,80,335,55,80,31,550
2018-05-01,Tuesday,34980000,93,True,521,62,22,402,97,62,19,583
2018-05-02,Wednesday,22800000,94,True,331,49,38,259,34,49,26,380
2018-05-03,Thursday,11100000,96,False,166,19,11,120,35,19,7,185
2018-05-04,Friday,35700000,96,True,524,71,53,370,101,71,33,595
2018-05-05,Saturday,27720000,93,True,397,65,41,308,48,65,29,462
2018-05-06,Sunday,31320000,95,True,443,79,64,320,59,79,25,522
2018-05-08,Tuesday,34680000,95,True,488,90,60,341,87,90,34,578
2018-05-09,Wednesday,36000000,95,True,551,49,30,438,83,49,22,600
2018-05-10,Thursday,32280000,98,True,497,41,60,323,114,41,25,538
2018-05-13,Sunday,37200000,97,True,565,55,65,383,117,55,25,620
2018-05-14,Monday,28680000,98,True,442,36,96,231,115,36,22,478
2018-05-15,Tuesday,33600000,96,True,517,43,99,251,167,43,25,560
2018-05-16,Wednesday,34980000,95,True,508,75,55,361,92,75,25,583
2018-05-17,Thursday,33660000,96,True,451,110,63,325,63,110,28,561
2018-05-18,Friday,36960000,94,True,552,64,73,360,119,64,24,616
2018-05-19,Saturday,32400000,95,True,443,97,61,344,38,97,22,540
2018-05-20,Sunday,31920000,93,True,459,73,93,293,73,73,28,532
2018-05-21,Monday,35580000,95,True,531,62,59,336,136,62,26,593
2018-05-22,Tuesday,30360000,92,True,418,88,43,314,61,88,23,506
2018-05-23,Wednesday,29220000,93,True,432,55,45,296,91,55,18,487
2018-05-26,Saturday,28380000,92,True,412,61,41,309,62,61,18,473
2018-05-27,Sunday,35400000,95,True,524,66,73,400,51,66,33,590
2018-05-28,Monday,45960000,95,True,648,118,66,495,87,118,35,766
2018-05-29,Tuesday,39720000,95,True,582,80,104,363,115,80,35,662
2018-05-30,Wednesday,38460000,90,True,558,83,93,402,63,83,26,641
2018-05-31,Thursday,30360000,93,True,422,84,54,305,63,84,18,506
2018-06-01,Friday,40020000,95,True,568,99,78,383,107,99,25,667
2018-06-02,Saturday,27420000,97,True,418,39,53,289,76,39,19,457
2018-06-04,Monday,34260000,91,True,486,85,55,371,60,85,24,571
2018-06-05,Tuesday,28080000,98,True,407,61,60,290,57,61,27,468
2018-06-06,Wednesday,35100000,96,True,507,78,75,329,103,78,25,585
2018-06-07,Thursday,40140000,94,True,583,86,40,470,73,86,29,669
2018-06-08,Friday,30660000,92,True,434,77,11,348,75,77,24,511
